last,best_bid,best_ask
126.954,126.9676,126.9828
126.954,126.9676,126.9828
127.0133,126.9486,127.0133
127.0133,126.9486,127.0133
127.0133,126.9486,127.0133
127.0133,126.9486,127.0133
127.0133,126.9486,127.0133
127.0133,126.9486,127.0133
127.0133,126.9486,127.0133
127.0133,126.9486,127.0133
127.0133,126.9486,127.0133
127.0133,126.9486,127.0133
127.0133,126.9486,127.0133
127.0133,126.9486,127.0133
126.9147,126.9154,126.9852
126.9147,126.9154,126.9852
126.9147,126.9154,126.9852
126.9147,126.9154,126.9852
126.9147,126.9154,126.9852
126.9147,126.9154,126.9852
126.9505,126.9504,126.9743
126.9505,126.9504,126.9743
126.9505,126.9504,126.9743
126.9505,126.9504,126.9743
126.9505,126.9504,126.9743
126.9505,126.9504,126.9743
126.9505,126.9504,126.9743
126.9505,126.9504,126.9743
126.9505,126.9504,126.9743
126.9732,126.9149,126.9743
126.9732,126.9149,126.9743
126.9732,126.9149,126.9743
126.9732,126.9149,126.9743
126.9732,126.9149,126.9743
126.9178,126.9178,126.969
126.9178,126.9178,126.969
126.9178,126.9178,126.969
126.9178,126.9178,126.969
126.9178,126.9178,126.969
126.9178,126.9206,126.969
126.9178,126.9206,126.969
126.9178,126.9206,126.969
126.9178,126.9206,126.969
126.9178,126.9206,126.969
126.9178,126.9206,126.969
126.9178,126.9234,126.969
126.9178,126.9234,126.969
126.9178,126.9234,126.969
126.9178,126.9234,126.969
126.9178,126.9234,126.969
126.9178,126.9234,126.969
126.9178,126.9234,126.969
126.969,126.969,126.9743
126.969,126.969,126.9743
126.969,126.969,126.9743
126.969,126.969,126.9743
126.969,126.969,126.9743
126.969,126.969,126.9743
126.969,126.969,126.9743
126.969,126.969,126.9743
126.969,126.969,126.9743
126.969,126.969,126.9743
126.969,126.969,126.9743
126.969,126.969,126.9743
126.9743,126.9716,126.9743
126.9743,126.9716,126.9743
126.9743,126.9716,126.9743
126.9743,126.9716,126.9743
126.9743,126.9716,126.9743
126.9716,126.9716,126.9879
126.9716,126.9716,126.9879
126.9716,126.9716,126.9879
126.9716,126.9716,126.9879
126.9716,126.9716,126.9879
126.9716,126.9716,126.9879
126.9716,126.9716,126.9879
126.9726,126.9726,126.9852
126.9726,126.9726,126.9852
126.9726,126.9726,126.9852
126.9964,126.9726,126.9964
126.9964,126.9726,126.9964
126.9964,126.9726,126.9964
